nome,descricao,imagem,nivel,tipo,destaque,repositorio
Sistema Distribuído Chave-Valor,Armazenamento chave-valor distribuído com sincronização gRPC e MQTT entre servidores.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Sistemas_Distribuidos.jpg"]",4,Backend,true,https://github.com/AlonsoRafael/distributed-key-value
AndroidStudio_ChatApp,App de chat em tempo real com Firebase para autenticação e banco de dados NoSQL.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/chatApp.png"]",4,Mobile,true,https://github.com/AlonsoRafael/AndroidStudio_ChatApp
Portal de Anúncios Veiculares,Aplicação Full-Stack completa com PHP e MySQL para gestão de anúncios.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Freeze_Monster.png"]",3,Full Stack,true,https://github.com/AlonsoRafael/portal-veiculos
Site_SattvaQuiropraxia,Landing page profissional otimizada para clínica com foco em UI/UX e performance.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Freeze_Monster.png"]",2,Frontend,true,https://github.com/AlonsoRafael/Site_SattvaQuiropraxia
Automação WhatsApp,Orquestração de atendimento inteligente via n8n e Evolution API.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/auto_secretaria.png"]",3,Automação,false,https://github.com/AlonsoRafael/whatsapp-automation
FreezeMonster,Jogo mobile com mecânicas de combate e sistema de progressão.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Freeze_Monster.png"]",2,Jogo,false,https://github.com/AlonsoRafael/FreezeMonster
Flappy_Bird,Clone do jogo clássico focado em lógica de física e colisões simples.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/flappy_bird.png"]",1,Jogo,false,https://github.com/AlonsoRafael/Flappy_Bird
Calculadora,"Uma calculadora moderna e elegante construída com Python e PySide6, apresentando uma interface gráfica intuitiva com tema escuro.","["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/calculadora.png"]",1,Frontend,false,https://github.com/AlonsoRafael/Calculadora
Portfólio,"Portfólio pessoal desenvolvido com Next.js, TypeScript e Prisma, apresentando projetos e tecnologias com backend em NestJS, banco de dados PostgreSQL via Supabase e automações com n8n.","["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/portifolio_alonsorafael.png"]",4,Full Stack,true,https://github.com/AlonsoRafael/Portfolio
AndroidStudio_ToDoApp,"Aplicação de Lista de Tarefas desenvolvida em Android Studio com Kotlin, utilizando arquitetura MVVM e Jetpack Compose para uma interface de usuário moderna e reativa.","["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/AndroidStudio_ToDoApp.png"]",3,Mobile,false,https://github.com/AlonsoRafael/AndroidStudio_ToDoApp
Kairos_Docs,"Plataforma SaaS que oferece todos os documentos necessários no dia a dia da clínica: declarações, atestados, encaminhamentos, termos e recibos. Desenvolvido com Next.js, TypeScript, React e Tailwind CSS para uma interface moderna e responsiva.","["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Karios_Docs.png"]",3,Frontend,true,https://github.com/AlonsoRafael/Karios_Docs